MEP_system,Image_ID,Ansatz,Fine-tune/Train_steps,E(Hartree)
Ethane,3,"Orbformer scratch, all structures",16000,-79.74374632754855
Ethane,4,"Orbformer scratch, all structures",16000,-79.68343622576846
Ethane,5,"Orbformer scratch, all structures",16000,-79.62844480802748
Ethane,6,"Orbformer scratch, all structures",16000,-79.60654963923633
Ethane,7,"Orbformer scratch, all structures",16000,-79.57368125567966
Ethane,8,"Orbformer scratch, all structures",16000,-79.57397424884373
Ethane,9,"Orbformer scratch, all structures",16000,-79.61349115278456
Ethane,10,"Orbformer scratch, all structures",16000,-79.62217501081034
Ethane,11,"Orbformer scratch, all structures",16000,-79.62672449775755
Ethane,12,"Orbformer scratch, all structures",16000,-79.62684241746128
Ethane,13,"Orbformer scratch, all structures",16000,-79.6282289383732
Ethane,14,"Orbformer scratch, all structures",16000,-79.62925633083385
Ethane,15,"Orbformer scratch, all structures",16000,-79.62997791160196
Ethane,16,"Orbformer scratch, all structures",16000,-79.62925941504406
Ethane,17,"Orbformer scratch, all structures",16000,-79.62942466754482
Ethane,18,"Orbformer scratch, all structures",16000,-79.62874086558246
Ethane,19,"Orbformer scratch, all structures",16000,-79.62838945706707
Ethane,0,"Orbformer scratch, all structures",32000,-79.81991604656643
Ethane,1,"Orbformer scratch, all structures",32000,-79.81876651975844
Ethane,2,"Orbformer scratch, all structures",32000,-79.81168715964424
Ethane,3,"Orbformer scratch, all structures",32000,-79.76581924023098
Ethane,4,"Orbformer scratch, all structures",32000,-79.70508427343904
Ethane,5,"Orbformer scratch, all structures",32000,-79.6497573650784
Ethane,6,"Orbformer scratch, all structures",32000,-79.6276964161343
Ethane,7,"Orbformer scratch, all structures",32000,-79.59524970338609
Ethane,8,"Orbformer scratch, all structures",32000,-79.59228243001301
Ethane,9,"Orbformer scratch, all structures",32000,-79.6301209564209
Ethane,10,"Orbformer scratch, all structures",32000,-79.63870728471544
Ethane,11,"Orbformer scratch, all structures",32000,-79.6429945326911
Ethane,12,"Orbformer scratch, all structures",32000,-79.64343624776204
Ethane,13,"Orbformer scratch, all structures",32000,-79.6438210900629
Ethane,14,"Orbformer scratch, all structures",32000,-79.64480385843913
Ethane,15,"Orbformer scratch, all structures",32000,-79.64563188934326
Ethane,16,"Orbformer scratch, all structures",32000,-79.64615018997192
Ethane,17,"Orbformer scratch, all structures",32000,-79.64624418436686
