,geometry,dataset,finetuning,pretraining,rmean
86,1,Scratch,2,0,-50.39678955824982
87,2,Scratch,2,0,-50.34954796948232
88,3,Scratch,2,0,-49.867356509927845
89,4,Scratch,2,0,-49.281195174018464
90,0,Scratch,8,0,-79.96713756226931
91,1,Scratch,8,0,-79.85671981376757
92,2,Scratch,8,0,-79.73871837177913
93,3,Scratch,8,0,-79.30936057306354
94,4,Scratch,8,0,-78.82371165431205
95,0,Scratch,4096,0,-100.34434298299153
96,1,Scratch,4096,0,-100.34581465861002
97,2,Scratch,4096,0,-100.34457976379394
98,3,Scratch,4096,0,-100.33593237980047
99,4,Scratch,4096,0,-100.32518138343738
100,0,Scratch,16,0,-87.57619648860431
101,1,Scratch,16,0,-87.48043331566895
102,2,Scratch,16,0,-87.35882423048223
103,3,Scratch,16,0,-87.00820678568437
104,4,Scratch,16,0,-86.62055617685343
105,0,Scratch,128,0,-98.99016352023777
106,1,Scratch,128,0,-98.98939068214167
107,2,Scratch,128,0,-98.97226406106851
108,3,Scratch,128,0,-98.93684984317228
109,4,Scratch,128,0,-98.90206083259939
110,0,Scratch,512,0,-100.1589999806722
111,1,Scratch,512,0,-100.16692487272846
112,2,Scratch,512,0,-100.16998577362085
113,3,Scratch,512,0,-100.16260561421713
114,4,Scratch,512,0,-100.14738487958876
115,0,Scratch,64,0,-97.87737247284446
116,1,Scratch,64,0,-97.89366034652389
117,2,Scratch,64,0,-97.87291693485722
118,3,Scratch,64,0,-97.823442750201
119,4,Scratch,64,0,-97.74059872043193
120,0,Scratch,256,0,-99.70508376796874
121,1,Scratch,256,0,-99.71287157882355
122,2,Scratch,256,0,-99.71162873994435
123,3,Scratch,256,0,-99.69695141279917
124,4,Scratch,256,0,-99.66487672092755
125,0,Scratch,1024,0,-100.23973365681967
126,1,Scratch,1024,0,-100.23749572250294
127,2,Scratch,1024,0,-100.22691312381298
128,3,Scratch,1024,0,-100.20832134523067
129,4,Scratch,1024,0,-100.18623649738585
130,0,Scratch,2048,0,-100.3136667396415
131,1,Scratch,2048,0,-100.31145573628743
132,2,Scratch,2048,0,-100.30749302271306
133,3,Scratch,2048,0,-100.29382415161133
134,4,Scratch,2048,0,-100.28018931607166
135,0,TM,4,512000,-95.11074837421663
136,1,TM,4,512000,-94.82822089837134
137,2,TM,4,512000,-94.51429334597971
138,3,TM,4,512000,-93.98747427022904
139,4,TM,4,512000,-93.77476912539846
140,0,TM,32,512000,-100.10499822046282
141,1,TM,32,512000,-100.10662832731984
142,2,TM,32,512000,-100.0916097129161
143,3,TM,32,512000,-100.03225937587158
144,4,TM,32,512000,-99.94650206813884
145,0,TM,1,512000,-91.42932066452839
146,1,TM,1,512000,-90.5118824114121
147,2,TM,1,512000,-89.54421753581228
148,3,TM,1,512000,-88.39753059506802
149,4,TM,1,512000,-88.87695570758109
150,0,TM,2,512000,-93.37805289602811
151,1,TM,2,512000,-92.72979625190806
152,2,TM,2,512000,-92.00810323872537
153,3,TM,2,512000,-90.9196620014341
154,4,TM,2,512000,-91.0063103934677
155,0,TM,8,512000,-96.27250846792721
156,1,TM,8,512000,-96.18631253994612
157,2,TM,8,512000,-96.04723582036387
158,3,TM,8,512000,-95.60596870414695
159,4,TM,8,512000,-95.21491955238396
160,0,TM,4096,512000,-100.37677802937826
161,1,TM,4096,512000,-100.37592035217286
162,2,TM,4096,512000,-100.37266332194011
163,3,TM,4096,512000,-100.36271888326009
164,4,TM,4096,512000,-100.35030717718743
165,0,TM,16,512000,-98.59881196019639
166,1,TM,16,512000,-98.55965138071107
167,2,TM,16,512000,-98.51042356793945
168,3,TM,16,512000,-98.2706773510527
169,4,TM,16,512000,-97.60866841030179
170,0,TM,128,512000,-100.35925782674154
171,1,TM,128,512000,-100.358893451945
172,2,TM,128,512000,-100.35483902893067
173,3,TM,128,512000,-100.34011823527018
174,4,TM,128,512000,-100.32283117485326
175,0,TM,512,512000,-100.3723760518392
176,1,TM,512,512000,-100.37212291463216
177,2,TM,512,512000,-100.36901624348958
178,3,TM,512,512000,-100.3589528289795
179,4,TM,512,512000,-100.34617143593593
180,0,TM,64,512000,-100.26102168070476
181,1,TM,64,512000,-100.26462547302246
182,2,TM,64,512000,-100.26260296936036
