Ansatz,System,Fine-tune step,Geometry,E
orbformer_finetune_joint_tm_512k,C3H4,32000,4,-116.5630779056308+/-0
orbformer_finetune_joint_tm_512k,C3H4,32000,5,-116.59151252229016+/-0
orbformer_finetune_joint_tm_512k,C3H4,32000,6,-116.55588820621773+/-0
orbformer_finetune_joint_tm_512k,C3H4,32000,7,-116.57829882562481+/-0
orbformer_finetune_joint_tm_512k,C3H4,32000,8,-116.5137715870036+/-0
orbformer_finetune_joint_tm_512k,C3H4,32000,9,-116.61348926377579+/-0
orbformer_finetune_joint_tm_512k,CN2H2,0,0,-147.9070081257545+/-0
orbformer_finetune_joint_tm_512k,CN2H2,0,1,-147.8878481120475+/-0
orbformer_finetune_joint_tm_512k,CN2H2,0,2,-147.98255099153826+/-0
orbformer_finetune_joint_tm_512k,CN2H2,0,3,-148.01766648624871+/-0
orbformer_finetune_joint_tm_512k,CN2H2,0,4,-148.09439327306032+/-0
orbformer_finetune_joint_tm_512k,CN2H2,0,5,-147.99374646123354+/-0
orbformer_finetune_joint_tm_512k,CN2H2,0,6,-148.1273459658186+/-0
orbformer_finetune_joint_tm_512k,CN2H2,0,7,-147.95460483572288+/-0
orbformer_finetune_joint_tm_512k,CN2H2,0,8,-147.96557095679591+/-0
orbformer_finetune_joint_tm_512k,CN2H2,0,9,-148.1112880344502+/-0
orbformer_finetune_joint_tm_512k,CN2H2,250,0,-148.61227794875327+/-0
orbformer_finetune_joint_tm_512k,CN2H2,250,1,-148.6373678484113+/-0
orbformer_finetune_joint_tm_512k,CN2H2,250,2,-148.67506506756828+/-0
orbformer_finetune_joint_tm_512k,CN2H2,250,3,-148.61648179116287+/-0
orbformer_finetune_joint_tm_512k,CN2H2,250,4,-148.6511582538781+/-0
orbformer_finetune_joint_tm_512k,CN2H2,250,5,-148.59914364650055+/-0
orbformer_finetune_joint_tm_512k,CN2H2,250,6,-148.63680231280688+/-0
orbformer_finetune_joint_tm_512k,CN2H2,250,7,-148.6707047026088+/-0
orbformer_finetune_joint_tm_512k,CN2H2,250,8,-148.59431092587343+/-0
orbformer_finetune_joint_tm_512k,CN2H2,250,9,-148.6574788994119+/-0
orbformer_finetune_joint_tm_512k,CN2H2,1000,0,-148.64365045558023+/-0
orbformer_finetune_joint_tm_512k,CN2H2,1000,1,-148.65884993987643+/-0
orbformer_finetune_joint_tm_512k,CN2H2,1000,2,-148.69779286225491+/-0
orbformer_finetune_joint_tm_512k,CN2H2,1000,3,-148.66266881217763+/-0
orbformer_finetune_joint_tm_512k,CN2H2,1000,4,-148.67401902936982+/-0
orbformer_finetune_joint_tm_512k,CN2H2,1000,5,-148.64034535575527+/-0
orbformer_finetune_joint_tm_512k,CN2H2,1000,6,-148.66684713286872+/-0
orbformer_finetune_joint_tm_512k,CN2H2,1000,7,-148.69218925194917+/-0
orbformer_finetune_joint_tm_512k,CN2H2,1000,8,-148.6260348909932+/-0
orbformer_finetune_joint_tm_512k,CN2H2,1000,9,-148.6891568894088+/-0
orbformer_finetune_joint_tm_512k,CN2H2,4000,0,-148.6593843328139+/-0
orbformer_finetune_joint_tm_512k,CN2H2,4000,1,-148.66553976242594+/-0
orbformer_finetune_joint_tm_512k,CN2H2,4000,2,-148.7022429017205+/-0
orbformer_finetune_joint_tm_512k,CN2H2,4000,3,-148.67245127550132+/-0
orbformer_finetune_joint_tm_512k,CN2H2,4000,4,-148.68629229289152+/-0
orbformer_finetune_joint_tm_512k,CN2H2,4000,5,-148.6474372786233+/-0
orbformer_finetune_joint_tm_512k,CN2H2,4000,6,-148.6755361178856+/-0
